3222 3218 0 3213 3424 0 1 4 4 0
3222 3218 0 3213 3424 0 0 4 4 0
3222 3218 0 3213 3424 0 1 1 4 0
3293 3174 0 3087 3496 0 1 5 4 0
3293 3174 0 3087 3496 0 0 5 4 0
3293 3174 0 3087 3496 0 1 2 4 0
3293 3174 0 3087 3496 0 1 0 4 0
3222 3218 0 3208 3220 2 0 3 0 0
3213 3424 0 3222 3218 0 0 3 4 1
3027 3218 0 2956 3143 1 0 6 0 1
3027 3218 0 2956 3143 1 0 2 0 1
3027 3218 0 2956 3143 1 0 0 0 1
2683 3272 0 2775 3234 1 0 6 0 1
2683 3272 0 2775 3234 1 0 2 0 1
2683 3272 0 2775 3234 1 0 0 0 1
3222 3218 0 2918 3176 0 5 0 0 0
3222 3218 0 2918 3176 0 5 2 0 0
3222 3218 0 2918 3176 0 1 0 0 0
3222 3218 0 2918 3176 0 5 5 0 0
